nombre,genero,edad,pais,anio,evento,medalla
a dijiang,m,24,china,1992,basketball men's basketball,na
a lamusi,m,23,china,2012,judo men's extra-lightweight,na
andreea aanei,f,22,romania,2016,weightlifting women's super-heavyweight,na
jamale (djamel-) aarrass (ahrass-),m,30,france,2012,athletics men's 1500 metres,na
ann kristin aarnes,f,23,norway,1996,football women's football,bronze
abdelhak aatakni,m,24,morocco,2012,boxing men's light-welterweight,na
arvi aavik,m,22,estonia,2000,wrestling men's heavyweight freestyle,na
arvi aavik,m,26,estonia,2000,wrestling men's heavyweight freestyle,na
talaat abada,m,24,egypt,2000,taekwondo men's flyweight,na
antonio abadia beci,m,26,spain,2016,athletics men's 5000 metres,na
